"date","title","content"
"2023/11/21","もうすぐ　　　　　村井優","こんばんは。村井優です！11月18日（土）、11月19日（日）ミート＆グリートありがとうございました☺かけてくださる言葉が優しくて心が温かいです。ファンのみな..."
"2023/11/14","咲　　　　　　　　　　村井優","こんばんは。村井優です！「新参者」足を運んでくださった方々、..."
"2023/11/07","最近のこと　　村井優","こんにちは。村井優です！まずは、昨日の11月6日（月）から櫻坂46三期生の新参者の公演が始まりました🌸ありがとうございました！無事に初日を終えることができ..."
"2023/11/04","素敵な朝　　　　　　　　　村井優","おはようございます。村井優です！昨日のミート＆グリート、ありがとうございました！..."
"2023/10/31","Happy_Halloween♡            村井優","こんばんは。村井優です！今日は10月31日ハッピーハロウィン~🎃🤍わたしは魔女に変身しました🪄ハロウ..."
"2023/10/28","些細な幸せ　　　　村井優","こんばんは。村井優です！まずは、今夜10月28日（土）23:00〜【Venue101】に櫻坂46が出演させていただきます！素敵なパフォーマンスをお届けできるように精一杯..."
"2023/10/25","感謝の気持ち　　　　　　村井優","こんばんは村井優です！昨日は、【うたコン】に出演させていただきました。見..."
"2023/10/23","素敵な時間　　　　　村井優 ","こんばんは村井優です！昨日は7thシングルになって初めてのミート＆グリートがありました〜..."
"2023/10/18","7thシングル　　　　村井優","こんばんは村井優です！まずは、本日、7thシングル『承認欲求』発売を迎えました！とってもとっても嬉しいです！！..."
"2023/10/15","ミニマラソン　　　　村井優","こんにちは櫻坂46三期生村井優です！昨夜の『オールスター感謝祭2023秋』赤坂5丁目ミニマラソンに出演させていただきました。一夜明けたのですが、まだまだ余..."
"2023/10/14","いろいろ　　　　村井優","こんにちは村井優です！まずは、10月14日（土）今夜6時30分からの【オールスター感謝祭2023秋】に出演させていただくことになりました！赤坂5丁目ミニマラソ..."
"2023/10/11","CDTV ライブ！ライブ！　　村井優","こんにちは村井優です！一昨日の【CDTVライブ！ライブ！】に櫻坂46が出演させていただきました⚡️憧れだったサイン書きをしました！書く直前までドキド..."
"2023/10/09","嬉しいお知らせ　　村井優","こんにちは村井優です！一昨日ぶりです待っていてくれましたかー？やってきたよ〜..."
"2023/10/07","#yublog______村井優","こんばんは。今日から三期生の個人ブログが始まりました！好きなときに好きなだけ、私から発信できる場所ができてとっても嬉しいです。私のブログ＝#yublog&..."
"2023/9/29","『承認欲求』　　　　村井優","こんばんは今日も元気いっぱい村井優です！今日は金曜日お仕事、学校、バイト、今週も本当にお疲れさまです。私もみなさんも、よく頑張りました~！疲れたときは..."
"2023/9/18","目標と夢　　村井優","こんばんは村井優です！お久しぶりです。元気に過ごしていますか？私は元気いっぱいです~！⋱⋰⋱⋰⋱⋰⋱⋰⋱⋰2023年10月18日（水）7thシングル『承認欲求』発売です..."
"2023/9/07","夏の終わり　村井優","こんばんは🐰🌟村井優（むらいゆう）です🐰🌟この絵文字かわいい昨日の純葉のブログにも書いてくれていたのですが..."
"2023/8/27","1年前の今日　　村井優","こんばんは🐰🌟東京都出身村井優（むらいゆう）です。ちょうど1年前の今日がオーディションの4次審査明日が最終審査でした人生が変わった日ですすごく遠い記憶..."
"2023/8/16","感謝 幸せでいっぱい　村井優","こんばんは🌙18歳って書くのは明日で最後だな~8月18日（明後日）で19歳になります！東京都出身18歳の村井優です。わたしは今もずっとリアルミート＆グリー..."
"2023/8/05","アイラブユーを届けたい！村井優","みなさん、こんばんは。東京都出身18歳村井優（むらいゆう）です。あっという間に8月になりました外が明るくて、気分が晴..."
"2023/7/25","初めて見た景色　　村井優","みなさん、お久しぶりです東京都出身18歳村井優（むらいゆう）です。元気にお過ごしでしょうか？わたしはすごく元気です！暑さに負けないで、元気でいてく..."
"2023/7/14","どんな夏　　村井優","みなさん、こんばんは〜東京都出身18歳村井優です！今日は金曜日ですね1週間お疲れさまです！外に出るとすごく暑いです、！夏が始まった気がします今..."
"2023/7/03","こんばんは　村井優です
","みなさん、こんばんはー🌙今日も1日お疲れさまです☺︎東京都出身18歳村井優（むらいゆう）です！純葉からバトンを受け取りました！この間のレッスン前、わたし..."
"2023/6/22","幸せそうに食べます　村井優","みなさん、お久しぶりです！今日もお疲れ様です☺︎東京都出身18歳村井優（むらいゆう）です純葉から..."
"2023/6/11","マイペースな村井優です","みなさん、お久しぶりです☺︎学校、お仕事、毎日お疲れさまです〜！東京都出身18歳の村井優（むらいゆう）です。..."
"2023/5/31","I_am_yu____I_love_you___‼︎_♡","みなさん、こんばんは〜〜東京都出身18歳の村井優（むらいゆう）です。タイトルに書いた、「Ia..."
"2023/5/20","梅雨の季節","みなさん、こんにちは〜〜今週もお疲れさまです☺︎東京都出身18歳の村井優（むらいゆう）です。最近は暑い日が多く感..."
"2023/5/09","今日は純葉のお誕生日〜🎂🤍","みなさん、お久しぶりです☺︎お仕事や学校、バイト、などなどお疲れさまです☺︎東京都出身18歳の村井優(むらいゆう)です。..."
"2023/4/28","キャッチコピー悩み中🤔","今日は金曜日ですね今週もお仕事や学校お疲れさまです☺︎美味しいものを食べて自分に頑張ったご褒美をあげてください♪ゆっくり休んで..."
"2023/4/17","3rd TOUR 2023！　村井優です！","みなさん、こんにちは〜櫻坂46三期生東京都出身18歳村井優(むらいゆう)です。ついに、、、3rdTOUR2023が始まりました！！！2日間の..."
"2023/4/06","暖かい春だね〜","みなさん〜！わたしの担当がやってきました〜👋🏻櫻坂46三期生東京都出身18歳村井優(むらいゆう)です。(お休みの日..."
"2023/3/26","幸せな日〜","みなさん、こんにちは〜ブログを開いてくださりありがとうございます！櫻坂46三期生東京都出身18歳村井優(むらいゆう)です。純..."
"2023/3/15","はじめまして。村井優です。","みなさん、はじめましてブログを開いてくださりありがとうございます。いとは(向井純葉)からバトンを受け取り、今日はわたしが担当させていただきます。..."